             column1             column2
                   0                5739
                   1                5934
                   2                5003
                   3                5626
                   4                5217
                   5                5442
                   6                5203
                   7                5013
                   8                5726
                   9                4895
                  10                5902
                  11                4910
                  12                5581
                  13                4766
                  14                5904
                  15                4950
                  16                5569
                  17                5223
                  18                5492
                  19                5071
                  20                5255
                  21                5396
                  22                5398
                  23                5018
                  24                5461
                  25                5332
                  26                5314
                  27                5458
                  28                5578
                  29                4922
                  30                5506
                  31                5032
                  32                5152
                  33                5172
                  34                5413
                  35                5149
                  36                5204
                  37                5102
                  38                5635
                  39                5242
                  40                5144
                  41                5717
                  42                4623
                  43                5195
                  44                5120
                  45                5645
                  46                5095
                  47                5279
                  48                5194
                  49                5613
                  50                5107
                  51                6022
                  52                4543
                  53                5458
                  54                5249
                  55                5470
                  56                5022
                  57                5363
                  58                5300
                  59                5463
                  60                5371
                  61                5178
                  62                5244
                  63                4989
                  64                5810
                  65                4926
                  66                5516
                  67                4571
                  68                5402
                  69                5372
                  70                5414
                  71                5091
                  72                5587
                  73                4865
                  74                5483
                  75                5613
                  76                6381
                  77                5923
                  78                6308
                  79                6094
                  80                6582
                  81                5387
                  82                5840
                  83                5856
                  84                6468
                  85                5901
                  86                4460
                  87                6172
                  88                4934
                  89                6577
                  90                6262
                  91                4442
                  92                5979
                  93                6026
                  94                6108
                  95                6218
                  96                5061
                  97                2372
