             column1             column2
                   0                 407
                   1                 374
                   2                 376
                   3                 384
                   4                 377
                   5                 383
                   6                 367
                   7                 373
                   8                 360
                   9                 373
                  10                 376
                  11                 326
                  12                 422
                  13                 390
                  14                 395
                  15                 362
                  16                 344
                  17                 390
                  18                 361
                  19                 360
                  20                 350
                  21                 390
                  22                 360
                  23                 361
                  24                 330
                  25                 383
                  26                 368
                  27                 369
                  28                 381
                  29                 369
                  30                 390
                  31                 362
                  32                 361
                  33                 366
                  34                 379
                  35                 360
                  36                 390
                  37                 382
                  38                 360
                  39                 370
                  40                 377
                  41                 396
                  42                 337
                  43                 379
                  44                 402
                  45                 420
                  46                 376
                  47                 344
                  48                 360
                  49                 420
                  50                 406
                  51                 360
                  52                 360
                  53                 374
                  54                 416
                  55                 358
                  56                 345
                  57                 375
                  58                 401
                  59                 416
                  60                 432
                  61                 421
                  62                 368
                  63                 412
                  64                 373
                  65                 369
                  66                 353
                  67                 390
                  68                 406
                  69                 414
                  70                 377
                  71                 370
                  72                 380
                  73                 410
                  74                 399
                  75                 390
                  76                 407
                  77                 360
                  78                 373
                  79                 375
                  80                 375
                  81                 395
                  82                 360
                  83                 381
                  84                 401
                  85                 437
                  86                 344
                  87                 360
                  88                 390
                  89                 392
                  90                 360
                  91                 365
                  92                 360
                  93                 421
                  94                 427
                  95                 442
                  96                 358
                  97                 390
                  98                 402
                  99                 374
                 100                 360
                 101                 390
                 102                 376
                 103                 350
                 104                 360
                 105                 368
                 106                 391
                 107                 371
                 108                 352
                 109                 373
                 110                 428
                 111                 401
                 112                 404
                 113                 426
                 114                 421
                 115                 360
                 116                 390
                 117                 390
                 118                 360
